target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
9ncd,opendde-abag,0.979064692244898,0.04371048104271202,0.944782,0.889288638163412,False
9ncy,opendde-abag,0.9857039314285714,0.021858876148234826,0.970287,0.6955357543453694,False
9nkz,opendde-abag,0.990462373877551,0.008766050542291636,0.938098,0.2657475092836834,False
9nl0,opendde-abag,0.9867159273469387,0.014829266268513644,0.989275,0.21386972077078603,True
9nl1,opendde-abag,0.952947883265306,0.10741717230150337,0.964788,0.8368154061127949,False
9np0,opendde-abag,0.9974949200000001,0.0014058037747821841,0.98141,0.05164106233461611,True
9nw4,opendde-abag,0.9961471028571429,0.004316518151742022,0.983484,0.9472175460676199,False
9nw7,opendde-abag,0.746673064489796,0.11812766415422682,0.172897,0.03495758563236278,True
9nw8,opendde-abag,0.746673064489796,0.11812766415422682,0.172897,0.03590052758924584,True
9nw9,opendde-abag,0.746673064489796,0.11812766415422682,0.172897,0.03771751319525424,True
9nzf,opendde-abag,0.9890736604081631,0.011120502598344168,0.992442,0.8549476173603789,False
9obn,opendde-abag,0.9886551110204082,0.0038672616135548015,0.953595,0.6580273907430151,False
9ppw,opendde-abag,0.7557555036734693,0.14334390957961615,0.408673,0.69162199131804,False
9ppy,opendde-abag,0.7156791689795918,0.1392722804827249,0.407983,0.8177792067996114,False
9pso,opendde-abag,0.9712252710204081,0.055878431430456066,0.948557,0.831647648559184,False
9q1l,opendde-abag,0.9956643828571429,0.002887483977224209,,0.9733785370613265,False
9q6h,opendde-abag,0.9978707461224487,0.0008676561361785142,0.958549,0.8736568302239327,False
9q6n,opendde-abag,0.9968722481632653,0.0017952568351434486,0.954928,0.8204095605556093,False
9q6y,opendde-abag,0.8489667681632653,0.06563238106674117,0.148692,0.21927138325446457,True
9q6z,opendde-abag,0.8489667681632653,0.06563238106674117,0.148692,0.24760563280955883,False
9q7y,opendde-abag,0.8223226334693877,0.03179671941741376,0.625649,0.5711493948321947,False
9qqe,opendde-abag,0.6793680489795918,0.18614686507574443,0.27752,0.07308952902349265,True
9qqf,opendde-abag,0.9480845053061224,0.08666661636230875,0.772223,0.03076491493092177,True
9qrv,opendde-abag,0.8733635322448978,0.03437467606787603,0.150479,0.09795119854953732,True
9rig,opendde-abag,0.6186527412244898,0.13600357368234767,0.16575,0.3581190195080078,False
9rih,opendde-abag,0.6625101028571427,0.1594388950267143,0.265764,0.43886163204054657,False
9rn6,opendde-abag,0.9861941918367348,0.00728952479411484,0.944085,0.810388675409877,False
9rye,opendde-abag,0.9902024130612245,0.005512186247185968,0.973061,0.9002477487925681,False
9ryf,opendde-abag,0.9902024130612245,0.005512186247185968,0.973061,0.8889423166027811,False
9sat,opendde-abag,0.7942502587755101,0.09025637678035567,0.202246,0.42836117697001413,False
9sbb,opendde-abag,0.9288588783673469,0.11393954014923656,0.90935,0.9513051362330822,False
9ssm,opendde-abag,0.8147290775510203,0.09201417791575132,0.214375,0.07799839014246608,True
